code,libelle,type,code_dren,lib_dren
059060,GROUPE SCOLAIRE ADJA MADOUE TOURE ANYAMA,,,
059061,CENTRE DE FORMATION PROFESSIONNELLE COUPE COUTURE ET ARTISANAL SAINT LAURENT,,,
059062,ECOLE D'ENSEIGNEMENT CONFESSIONNEL, GENERAL ET TECHNIQUE (2ECGT) BINGERVILLE,,,
059063,COLLEGE SAGUIDIBA YOPOUGON,,,
059065,LE CHANDELIER D'OR YOPOUGON,,,
059066,ITSAT YOPOUGON,,,
059067,INSTAC YOPOUGON,,,
059069,INSTITUT SECONDAIRE TECHNIQUE LES ANGES,,,
059071,IMETP YOPOUGON,,,
059073,ECOLE SUPERIEURE D'INFORMATIQUE ET DE COMMERCE (ESICOM) PLATEAU,,,
059074,EESGTP LA SORBONNE YOPOUGON,,,
059075,INSTITUT MODERNE AMADOU HAMPATE BA,,,
059076,INSTITUT KLAMMAN,,,
059077,INSTITUT INTERNATIONAL SARHAOUM ADJAME,,,
059078,ESAM PLATEAU,,,
059080,2.I.S YOPOUGON,,,
059084,INSTITUT DE FORMATION TECHNIQUE ET PROFESSIONNELLE KONE AMARA,,,
059087,COLLEGE OFFOUMOU YAPO YOPOUGON,,,
059090,INSTITUT DE FORMATION SAINTE MARIE (IFSM) DE YOPOUGON,,,
059092,INSTITUT DE FORMATION PROFESSIONNELLE ET PARA MEDICALE D'ABIDJAN (IFOPMA),,,
059093,I.F.P AZING IVOIR YOPOUGON,,,
059095,GROUPE SCOLAIRE SAINTE HELENE YOPOUGON,,,
059096,GROUPE SCOLAIRE SAINTE FAMILLE DE L'ENFANT JESUS,,,
059098,GROUPE SCOLAIRE FUSOS COURS SOCIAUX ABOBO,,,
059099,GROUPE SCOLAIRE SAINT CYR YOPOUGON,,,
059101,GROUPE SCOLAIRE LES SAINTS ANGES YOPOUGON,,,
059105,GROUPE SCOLAIRE LAMA FOFANA YOPOUGON,,,
059106,GROUPE SCOLAIRE KWAGNISS MAVRO YOPOUGON,,,
059107,ESTAN PLATEAU,,,
059108,GROUPE SCOLAIRE INTERNATIONAL DE L'AMITIE YOPOUGON,,,
059110,GROUPE SCOLAIRE ANDRE LATRILLE YOPOUGON,,,
059111,ETS EDUFOR YOPOUGON,,,
059113,GROUPE ZAMA CONSULTING,,,
059114,COLLEGE PRIVE NATHAN,,,
059115,COLLEGE LES PDG DE L'AVENIR,,,
059116,CENTRE PERSEVERANCE COUTURE BROU N'GO,,,
059117,CENTRE DE FORMATION TECHNIQUE ET PROFESSIONNELLE LE GROUPE BOWL,,,
